data.id	seg.size	status	RMS
c0_xy	293	1	-1
c0_xy	394	1	-1
c0_xy	136	1	-1
c0_xy	377	2	-1
c0_xy	412	1	-1
c0_xy	417	1	-1
c0_xy	39	1	-1
c0_xy	406	1	-1
c0_xy	292	1	-1
c0_xy	132	0	0.283915
c0_xy	211	0	0.177902
c0_xy	321	1	-1
c0_xy	368	0	0.187564
c0_xy	203	1	-1
c0_xy	353	1	-1
c0_xy	632	2	-1
c0_xy	15	1	-1
c0_xy	14	1	-1
c0_xy	6	1	-1
c0_xy	377	1	-1
c0_xy	222	1	-1
c0_xy	270	1	-1
c0_xy	115	1	-1
c0_xy	254	1	-1
c0_xy	191	1	-1
c0_xy	314	1	-1
c0_xy	79	1	-1
c0_xz	6	-1	-2
c0_xz	487	0	0.342581
c0_xz	1034	0	0.365293
c0_xz	90	1	-1
c0_xz	1556	0	0.423961
c0_xz	240	0	0.26081
c0_xz	587	0	0.661012
c0_xz	2	1	-1
c0_xz	504	0	0.561745
c0_xz	1545	0	0.404957
c0_xz	769	0	0.387538
c0_xz	1408	0	0.301349
c0_xz	21	1	-1
c0_xz	34	1	-1
c0_xz	1040	0	1.09595
c0_xz	356	0	0.628746
c0_xz	1353	0	0.551845
c0_xz	1419	0	1.21406
c0_xz	1264	0	1.23187
c0_xz	1586	0	0.454687
c0_xz	754	0	0.409939
c0_xz	1357	0	0.462224
c0_xz	176	1	-1
c0_xz	27	1	-1
c0_xz	96	1	-1
c0_xz	388	0	0.340411
c0_xz	817	1	-1
c0_xz	1175	0	0.770625
c0_xz	1101	0	0.324302
c0_xz	502	1	-1
c0_xz	1006	2	-1
c0_xz	264	0	0.543401
c0_xz	749	1	-1
c0_xz	926	0	0.425519
c0_xz	622	2	-1
c0_xz	73	1	-1
c0_xz	1299	0	0.477567
c0_xz	1391	1	-1
c0_xz	34	1	-1
c0_xz	158	1	-1
c0_xz	267	0	0.444974
c0_xz	47	1	-1
c0_xz	136	0	0.5845
c0_xz	136	0	0.868147
c0_xz	220	1	-1
c0_xz	508	0	0.378829
c0_xz	1103	1	-1
c0_xz	100	0	0.38372
c0_xz	845	1	-1
c0_xz	56	1	-1
c0_xz	28	1	-1
c0_xz	752	0	0.626071
c0_xz	704	0	1.04269
c0_xz	778	1	-1
c0_xz	291	1	-1
c0_xz	256	0	0.393697
c0_xz	877	0	0.823563
c0_xz	682	0	0.391836
c0_xz	796	0	2.22121
c0_xz	890	0	1.91864
c0_xz	320	0	0.583134
c0_xz	216	1	-1
c0_xz	400	1	-1
c0_xz	436	1	-1
c0_xz	468	0	1.28968
c0_xz	353	1	-1
c0_xz	274	1	-1
c0_xz	324	1	-1
c0_yz	2	-1	-2
c0_yz	521	1	-1
c0_yz	565	3	-1
c0_yz	272	1	-1
c0_yz	9	1	-1
c0_yz	301	0	0.228555
c0_yz	379	0	0.2973
c0_yz	256	1	-1
c0_yz	1306	0	0.33345
c0_yz	331	1	-1
c0_yz	394	0	0.358285
c0_yz	88	1	-1
c0_yz	361	2	-1
c0_yz	2181	0	0.387354
c0_yz	6	1	-1
c0_yz	93	1	-1
c0_yz	1887	0	0.455061
c0_yz	584	0	0.562928
c0_yz	104	1	-1
c0_yz	1732	0	0.428663
c0_yz	1313	1	-1
c0_yz	1589	0	0.378908
c0_yz	1853	0	0.513146
c0_yz	25	1	-1
c0_yz	76	1	-1
c0_yz	271	1	-1
c0_yz	2	1	-1
c0_yz	468	1	-1
c0_yz	443	2	-1
c0_yz	304	0	0.236189
c0_yz	9	1	-1
c0_yz	124	1	-1
c0_yz	312	0	1.33845
c0_yz	2	1	-1
c0_yz	2160	0	0.583295
c0_yz	13	1	-1
c0_yz	196	1	-1
c0_yz	2047	0	0.695411
c0_yz	147	1	-1
c0_yz	207	0	0.355384
c0_yz	1814	0	0.214782
c0_yz	70	1	-1
c0_yz	626	1	-1
c0_yz	773	1	-1
c0_yz	296	1	-1
c0_yz	1938	0	0.740989
c0_yz	524	0	1.23985
c0_yz	972	0	0.967628
c0_yz	145	1	-1
c0_yz	180	2	-1
c0_yz	204	1	-1
c0_yz	68	1	-1
c0_yz	793	1	-1
c0_yz	325	1	-1
c0_yz	3	1	-1
c0_yz	269	0	0.400022
c0_yz	174	1	-1
c0_yz	125	1	-1
c0_yz	322	0	0.263239
c0_yz	750	1	-1
c0_yz	188	2	-1
c0_yz	130	1	-1
c0_yz	590	0	0.28021
c0_yz	4	1	-1
c0_yz	624	3	-1
c0_yz	208	1	-1
c0_yz	186	1	-1
c0_yz	121	1	-1
c0_yz	20	1	-1
c0_yz	115	1	-1
c0_yz	898	1	-1
c0_yz	232	1	-1
c0_yz	920	1	-1
c0_yz	453	1	-1
c0_yz	9	1	-1
c0_yz	98	0	1.78599
c0_yz	278	1	-1
c0_yz	154	1	-1
c0_yz	573	1	-1
c1_xy	0	-1	-2
c1_xy	24	1	-1
c1_xy	105	0	0.192704
c1_xy	48	0	0.676272
c1_xy	46	1	-1
c1_xy	57	1	-1
c1_xy	47	0	0.570246
c1_xy	112	0	0.58204
c1_xy	104	0	0.384733
c1_xy	97	0	0.243154
c1_xy	1	1	-1
c1_xy	120	0	0.299713
c1_xy	69	1	-1
c1_xy	134	0	0.273087
c1_xy	140	0	0.364271
c1_xy	138	0	0.287366
c1_xy	123	1	-1
c1_xy	149	0	0.31951
c1_xy	135	0	0.326667
c1_xy	218	0	0.363583
c1_xy	213	0	0.21771
c1_xy	171	0	0.584447
c1_xy	157	0	0.343598
c1_xy	126	0	0.355091
c1_xy	152	0	0.357671
c1_xy	46	1	-1
c1_xy	248	0	0.308247
c1_xy	293	0	0.242563
c1_xy	181	0	0.390591
c1_xy	116	0	0.319175
c1_xy	205	0	0.374001
c1_xy	61	1	-1
c1_xy	107	0	0.281389
c1_xy	204	0	0.378336
c1_xy	165	0	0.297801
c1_xy	218	0	0.461795
c1_xy	183	0	0.524855
c1_xy	46	1	-1
c1_xy	219	0	0.303025
c1_xy	122	1	-1
c1_xy	145	0	0.328677
c1_xy	127	0	0.272924
c1_xy	120	0	0.171799
c1_xy	273	0	0.359023
c1_xy	110	0	0.227662
c1_xy	124	0	0.331599
c1_xy	153	0	0.379894
c1_xy	82	0	0.749128
c1_xy	80	0	0.147905
c1_xy	134	0	0.454259
c1_xy	30	0	0.403687
c1_xy	64	0	0.663395
c1_xy	38	0	0.978894
c1_xy	12	1	-1
c1_xz	6	-1	-2
c1_xz	88	0	0.552209
c1_xz	257	0	0.413136
c1_xz	255	0	0.549111
c1_xz	107	0	0.45782
c1_xz	206	0	0.526592
c1_xz	4	1	-1
c1_xz	190	0	1.16067
c1_xz	30	1	-1
c1_xz	222	0	0.66628
c1_xz	199	0	0.365871
c1_xz	244	0	0.373593
c1_xz	110	0	0.668629
c1_xz	293	0	0.243327
c1_xz	215	0	0.229354
c1_xz	430	1	-1
c1_xz	186	0	0.410985
c1_xz	276	0	0.384154
c1_xz	206	0	0.302617
c1_xz	207	0	0.3124
c1_xz	276	0	0.339387
c1_xz	298	0	0.321407
c1_xz	174	0	1.22081
c1_xz	75	0	1.67826
c1_xz	249	0	0.537848
c1_xz	27	1	-1
c1_xz	244	0	0.268154
c1_xz	317	0	0.426964
c1_xz	191	0	0.944206
c1_xz	312	0	0.450996
c1_xz	215	0	0.754418
c1_xz	183	0	0.881544
c1_yz	2	-1	-2
c1_yz	139	0	1.16484
c1_yz	249	1	-1
c1_yz	514	0	0.404006
c1_yz	318	0	1.10947
c1_yz	455	0	0.819205
c1_yz	510	0	0.610318
c1_yz	601	0	0.490886
c1_yz	9	1	-1
c1_yz	210	0	0.491391
c1_yz	58	1	-1
c1_yz	421	0	0.31387
c1_yz	443	0	0.316219
c1_yz	70	1	-1
