data.id	seg.size	status	RMS
c0_xy	1	-1	-2
c0_xy	385	1	-1
c0_xy	355	1	-1
c0_xy	434	1	-1
c0_xy	488	1	-1
c0_xy	348	1	-1
c0_xy	505	1	-1
c0_xy	440	0	0.217628
c0_xy	442	1	-1
c0_xy	346	1	-1
c0_xy	425	1	-1
c0_xy	363	1	-1
c0_xy	364	0	0.229775
c0_xy	405	1	-1
c0_xy	429	1	-1
c0_xy	358	1	-1
c0_xy	393	1	-1
c0_xy	264	1	-1
c0_xy	312	1	-1
c0_xy	330	1	-1
c0_xy	334	1	-1
c0_xy	346	1	-1
c0_xy	341	0	0.195211
c0_xy	370	1	-1
c0_xy	370	1	-1
c0_xy	402	1	-1
c0_xy	301	1	-1
c0_xy	324	1	-1
c0_xy	348	1	-1
c0_xy	365	1	-1
c0_xy	317	0	0.195904
c0_xy	345	1	-1
c0_xy	427	1	-1
c0_xy	271	0	0.177628
c0_xy	335	1	-1
c0_xy	309	1	-1
c0_xy	373	1	-1
c0_xy	388	1	-1
c0_xy	344	1	-1
c0_xy	144	1	-1
c0_xy	367	1	-1
c0_xy	344	1	-1
c0_xy	284	1	-1
c0_xy	329	1	-1
c0_xy	322	1	-1
c0_xy	316	1	-1
c0_xy	434	1	-1
c0_xy	275	1	-1
c0_xy	279	1	-1
c0_xy	355	1	-1
c0_xy	354	1	-1
c0_xy	507	1	-1
c0_xy	13	1	-1
c0_xy	355	1	-1
c0_xy	284	1	-1
c0_xy	456	0	0.213997
c0_xy	382	1	-1
c0_xy	306	1	-1
c0_xy	336	1	-1
c0_xy	387	1	-1
c0_xy	297	1	-1
c0_xy	420	1	-1
c0_xy	303	1	-1
c0_xy	356	1	-1
c0_xy	287	1	-1
c0_xy	323	1	-1
c0_xy	285	1	-1
c0_xy	306	1	-1
c0_xy	293	1	-1
c0_xy	354	1	-1
c0_xy	290	1	-1
c0_xy	206	1	-1
c0_xy	307	1	-1
c0_xy	352	1	-1
c0_xy	359	0	0.157221
c0_xy	321	1	-1
c0_xy	373	1	-1
c0_xy	294	0	0.215283
c0_xy	242	1	-1
c0_xy	348	1	-1
c0_xy	361	0	0.179672
c0_xy	334	1	-1
c0_xy	304	1	-1
c0_xy	354	1	-1
c0_xy	295	1	-1
c0_xy	283	1	-1
c0_xy	347	1	-1
c0_xy	315	1	-1
c0_xy	251	1	-1
c0_xy	275	1	-1
c0_xy	308	1	-1
c0_xy	360	1	-1
c0_xy	172	1	-1
c0_xy	355	1	-1
c0_xy	342	1	-1
c0_xy	382	1	-1
c0_xy	313	1	-1
c0_xy	277	1	-1
c0_xy	308	1	-1
c0_xy	291	0	0.201273
c0_xy	303	1	-1
c0_xy	318	1	-1
c0_xy	257	1	-1
c0_xy	330	1	-1
c0_xy	271	1	-1
c0_xy	255	1	-1
c0_xy	391	1	-1
c0_xy	279	1	-1
c0_xy	317	1	-1
c0_xy	290	1	-1
c0_xy	333	1	-1
c0_xy	285	1	-1
c0_xy	284	0	0.186342
c0_xy	350	1	-1
c0_xy	285	1	-1
c0_xy	334	1	-1
c0_xy	314	1	-1
c0_xy	328	1	-1
c0_xy	315	0	0.187564
c0_xy	358	1	-1
c0_xy	307	1	-1
c0_xy	302	1	-1
c0_xy	304	1	-1
c0_xy	324	1	-1
c0_xy	255	1	-1
c0_xy	381	1	-1
c0_xy	348	1	-1
c0_xy	269	1	-1
c0_xy	342	1	-1
c0_xy	296	1	-1
c0_xy	315	1	-1
c0_xy	336	1	-1
c0_xy	255	1	-1
c0_xy	304	0	0.200418
c0_xy	231	1	-1
c0_xy	392	1	-1
c0_xy	327	1	-1
c0_xy	407	1	-1
c0_xy	195	1	-1
c0_xy	372	1	-1
c0_xy	272	0	0.192188
c0_xy	331	1	-1
c0_xy	273	1	-1
c0_xy	264	1	-1
c0_xy	268	1	-1
c0_xy	331	1	-1
c0_xy	300	1	-1
c0_xy	217	1	-1
c0_xy	350	1	-1
c0_xy	271	1	-1
c0_xy	282	0	0.211601
c0_xy	455	1	-1
c0_xy	200	1	-1
c0_xy	229	1	-1
c0_xy	319	1	-1
c0_xy	342	1	-1
c0_xy	368	1	-1
c0_xy	288	1	-1
c0_xy	297	1	-1
c0_xy	285	0	0.198458
c0_xy	303	1	-1
c0_xy	280	1	-1
c0_xy	290	0	0.204713
c0_xy	323	1	-1
c0_xy	326	1	-1
c0_xy	315	0	0.215841
c0_xy	288	1	-1
c0_xy	320	1	-1
c0_xy	295	1	-1
c0_xy	274	1	-1
c0_xy	213	1	-1
c0_xy	261	1	-1
c0_xy	265	1	-1
c0_xy	481	1	-1
c0_xy	362	0	0.21001
c0_xy	437	1	-1
c0_xy	296	1	-1
c0_xy	301	1	-1
c0_xy	310	1	-1
c0_xy	409	1	-1
c0_xy	315	1	-1
c0_xy	332	1	-1
c0_xy	321	1	-1
c0_xy	318	1	-1
c0_xy	320	1	-1
c0_xy	202	1	-1
c0_xy	305	1	-1
c0_xy	243	1	-1
c0_xy	274	0	0.15882
c0_xy	259	0	0.218506
c0_xy	335	1	-1
c0_xy	314	1	-1
c0_xy	321	1	-1
c0_xy	278	1	-1
c0_xy	430	1	-1
c0_xy	309	1	-1
c0_xy	271	0	0.190944
c0_xy	300	1	-1
c0_xy	263	1	-1
c0_xy	238	1	-1
c0_xy	315	1	-1
c0_xy	213	1	-1
c0_xy	294	1	-1
c0_xy	311	1	-1
c0_xy	195	1	-1
c0_xy	255	1	-1
c0_xy	295	1	-1
c0_xy	282	1	-1
c0_xy	269	1	-1
c0_xy	302	0	0.202138
c0_xy	265	1	-1
c0_xy	283	1	-1
c0_xy	318	1	-1
c0_xy	257	1	-1
c0_xy	311	1	-1
c0_xy	332	1	-1
c0_xy	329	1	-1
c0_xy	287	1	-1
c0_xy	182	1	-1
c0_xy	271	1	-1
c0_xy	255	1	-1
c0_xy	244	1	-1
c0_xy	328	1	-1
c0_xy	281	1	-1
c0_xy	271	1	-1
c0_xy	357	1	-1
c0_xy	351	0	0.219146
c0_xy	332	1	-1
c0_xy	299	1	-1
c0_xy	286	1	-1
c0_xy	435	1	-1
c0_xy	274	1	-1
c0_xy	529	1	-1
c0_xy	312	1	-1
c0_xy	322	1	-1
c0_xy	278	0	0.248739
c0_xy	285	1	-1
c0_xy	281	1	-1
c0_xy	356	1	-1
c0_xy	355	1	-1
c0_xy	287	1	-1
c0_xy	306	0	0.195602
c0_xy	281	1	-1
c0_xy	236	1	-1
c0_xy	278	1	-1
c0_xy	282	1	-1
c0_xy	292	1	-1
c0_xy	252	1	-1
c0_xy	279	1	-1
c0_xy	276	1	-1
c0_xy	318	1	-1
c0_xy	333	1	-1
c0_xy	500	1	-1
c0_xy	206	1	-1
c0_xy	420	1	-1
c0_xy	307	1	-1
c0_xy	261	1	-1
c0_xy	217	0	0.200199
c0_xy	285	0	0.205716
c0_xy	300	1	-1
c0_xy	274	1	-1
c0_xy	292	1	-1
c0_xy	293	1	-1
c0_xy	289	1	-1
c0_xy	251	1	-1
c0_xy	233	1	-1
c0_xy	184	1	-1
c0_xy	266	1	-1
c0_xy	265	1	-1
c0_xy	288	1	-1
c0_xy	308	1	-1
c0_xy	200	1	-1
c0_xy	320	1	-1
c0_xy	218	1	-1
c0_xy	232	1	-1
c0_xy	276	1	-1
c0_xy	233	1	-1
c0_xy	245	1	-1
c0_xy	228	1	-1
c0_xy	401	1	-1
c0_xy	247	1	-1
c0_xy	331	1	-1
c0_xy	288	1	-1
c0_xy	337	1	-1
c0_xy	70	1	-1
c0_xy	259	1	-1
c0_xy	269	1	-1
c0_xy	229	0	0.166887
c0_xy	317	1	-1
c0_xy	279	0	0.185067
c0_xy	202	1	-1
c0_xy	331	1	-1
c0_xy	232	1	-1
c0_xy	207	1	-1
c0_xy	298	1	-1
c0_xy	219	1	-1
c0_xy	305	1	-1
c0_xy	245	1	-1
c0_xy	247	1	-1
c0_xy	239	1	-1
c0_xy	280	0	0.167469
c0_xy	253	1	-1
c0_xy	283	1	-1
c0_xy	327	0	0.172873
c0_xy	278	1	-1
c0_xy	306	1	-1
c0_xy	290	1	-1
c0_xy	234	1	-1
c0_xy	272	1	-1
c0_xy	231	1	-1
c0_xy	300	1	-1
c0_xy	321	0	0.210925
c0_xy	383	1	-1
c0_xy	218	1	-1
c0_xy	244	1	-1
c0_xy	268	1	-1
c0_xy	272	1	-1
c0_xy	89	1	-1
c0_xy	299	1	-1
c0_xy	347	1	-1
c0_xy	320	1	-1
c0_xy	279	1	-1
c0_xy	309	1	-1
c0_xy	232	1	-1
c0_xy	279	1	-1
c0_xy	206	1	-1
c0_xy	260	1	-1
c0_xy	240	0	0.187735
c0_xy	260	1	-1
c0_xy	238	1	-1
c0_xy	341	1	-1
c0_xy	255	1	-1
c0_xy	290	1	-1
c0_xy	248	1	-1
c0_xy	281	0	0.17583
c0_xy	299	1	-1
c0_xy	215	1	-1
c0_xy	121	1	-1
c0_xy	99	1	-1
c0_xy	63	1	-1
c0_xy	224	1	-1
c0_xy	111	1	-1
c0_xy	231	1	-1
c0_xy	307	1	-1
c0_xy	233	0	0.165542
c0_xy	261	1	-1
c0_xy	305	1	-1
c0_xy	239	1	-1
c0_xy	209	0	0.15912
c0_xy	342	0	1.06163
c0_xy	326	1	-1
c0_xy	295	1	-1
c0_xy	214	1	-1
c0_xy	286	0	0.227516
c0_xy	220	1	-1
c0_xy	301	1	-1
c0_xy	247	1	-1
c0_xy	255	1	-1
c0_xy	318	1	-1
c0_xy	381	1	-1
c0_xy	269	1	-1
c0_xy	232	1	-1
c0_xy	334	1	-1
c0_xy	234	1	-1
c0_xy	263	1	-1
c0_xy	310	1	-1
c0_xy	200	0	0.183736
c0_xy	336	1	-1
c0_xy	240	1	-1
c0_xy	196	1	-1
c0_xy	272	1	-1
c0_xy	241	1	-1
c0_xy	216	0	0.210222
c0_xy	259	1	-1
c0_xy	213	1	-1
c0_xy	144	1	-1
c0_xy	210	1	-1
c0_xy	255	1	-1
c0_xy	224	1	-1
c0_xy	255	0	0.188527
c0_xy	233	1	-1
c0_xy	299	1	-1
c0_xy	278	1	-1
c0_xy	163	1	-1
c0_xy	303	1	-1
c0_xy	291	1	-1
c0_xy	185	1	-1
c0_xy	225	1	-1
c0_xy	306	1	-1
c0_xy	251	1	-1
c0_xy	390	1	-1
c0_xy	305	1	-1
c0_xy	251	1	-1
c0_xy	237	1	-1
c0_xy	268	1	-1
c0_xy	155	1	-1
c0_xy	229	1	-1
c0_xy	225	1	-1
c0_xy	275	1	-1
c0_xy	204	1	-1
c0_xy	210	1	-1
c0_xy	131	1	-1
c0_xy	37	1	-1
c0_xy	258	1	-1
c0_xy	181	1	-1
c0_xy	301	1	-1
c0_xy	113	1	-1
c0_xy	106	1	-1
c0_xy	264	1	-1
c0_xy	193	1	-1
c0_xy	227	1	-1
c0_xy	383	1	-1
c0_xy	285	1	-1
c0_xy	232	1	-1
c0_xy	313	1	-1
c0_xy	258	1	-1
c0_xy	365	1	-1
c0_xy	142	0	0.181236
c0_xy	336	1	-1
c0_xy	194	1	-1
c0_xy	217	1	-1
c0_xy	293	1	-1
c0_xy	160	1	-1
c0_xy	277	1	-1
c0_xy	233	1	-1
c0_xy	365	1	-1
c0_xy	284	1	-1
c0_xy	256	1	-1
c0_xy	198	1	-1
c0_xy	79	1	-1
c0_xy	259	0	0.202185
c0_xy	190	1	-1
c0_xy	274	1	-1
c0_xy	232	1	-1
c0_xy	328	1	-1
c0_xy	246	1	-1
c0_xy	189	1	-1
c0_xy	240	1	-1
c0_xy	193	1	-1
c0_xy	190	1	-1
c0_xy	259	1	-1
c0_xy	94	1	-1
c0_xy	182	1	-1
c0_xy	174	1	-1
c0_xy	185	1	-1
c0_xy	258	1	-1
c0_xy	277	1	-1
c0_xy	226	1	-1
c0_xy	97	1	-1
c0_xy	216	1	-1
c0_xy	293	1	-1
c0_xy	139	1	-1
c0_xy	265	1	-1
c0_xy	348	1	-1
c0_xy	250	0	0.194513
c0_xy	177	1	-1
c0_xy	125	1	-1
c0_xy	299	1	-1
c0_xy	210	0	0.223702
c0_xy	307	1	-1
c0_xy	184	1	-1
c0_xy	238	1	-1
c0_xy	216	1	-1
c0_xy	271	1	-1
c0_xy	161	1	-1
c0_xy	258	0	0.163943
c0_xy	160	0	0.233524
c0_xy	231	1	-1
c0_xy	219	1	-1
c0_xy	173	1	-1
c0_xy	181	1	-1
c0_xy	217	1	-1
c0_xy	118	1	-1
c0_xy	170	1	-1
c0_xy	236	1	-1
c0_xy	230	1	-1
c0_xy	238	0	0.176008
c0_xy	216	1	-1
c0_xy	356	1	-1
c0_xy	260	1	-1
c0_xy	265	1	-1
c0_xy	168	1	-1
c0_xy	251	1	-1
c0_xy	294	1	-1
