frame	time	nucs	cells	missed_nuc	detected	split	merged	junk	mergesplit
0	0	228	223	4	222	0	1	0	0
1	50	231	228	2	227	0	1	0	0
2	100	233	229	4	229	0	0	0	0
3	150	234	233	2	232	0	0	0	0
4	200	235	237	0	235	0	0	0	0
5	250	237	242	0	237	0	0	0	0
6	300	236	244	0	236	0	0	0	0
7	350	237	246	0	233	0	2	0	0
8	400	240	256	0	238	0	1	0	0
9	450	241	266	0	241	0	0	0	0
10	500	244	268	0	244	0	0	0	0
11	550	248	274	0	242	0	3	0	0
12	600	249	281	0	245	0	2	0	0
13	650	255	282	0	247	0	4	0	0
14	700	263	291	0	251	0	6	1	0
15	750	261	294	0	255	0	3	0	0
16	800	262	303	0	260	0	1	1	0
17	850	263	309	0	259	0	2	2	0
18	900	264	313	0	260	0	2	3	0
19	950	270	317	0	260	0	5	8	0
20	1000	267	319	0	265	0	1	8	0
21	1050	265	325	0	263	0	1	11	0
22	1100	262	328	0	260	0	1	18	0
23	1150	262	324	0	260	0	1	18	0
24	1200	262	320	0	256	0	3	22	0
25	1250	264	334	0	259	0	2	28	0
26	1300	266	339	0	264	0	1	27	0
27	1350	267	343	0	267	0	0	40	0
28	1400	265	331	0	263	0	1	36	0
29	1450	268	327	0	262	0	3	34	0
30	1500	267	394	0	260	6	2	67	0
31	1550	269	369	0	255	8	4	58	2
32	1600	270	386	1	267	5	0	69	0
33	1650	276	381	0	271	2	2	55	0
34	1700	277	368	0	267	9	2	47	1
35	1750	279	393	0	263	16	3	63	2
36	1800	268	373	0	246	19	3	54	4
37	1850	258	355	0	242	12	4	53	2
38	1900	280	347	0	245	12	11	32	5
39	1950	304	375	1	269	18	6	38	8
40	2000	303	323	0	234	14	22	18	12
41	2050	300	361	0	248	23	13	27	10
42	2100	280	381	0	237	36	5	33	11
43	2150	261	309	0	198	19	11	20	22
44	2200	248	272	0	168	9	22	18	17
